date;ipsrc;ipdst;proto;portdst;ruleid;action;interin;interout
2022-03-07 17:41:02;192.168.0.40;192.168.0.33;TCP;21;3;Permit;IN;
2022-03-07 17:41:02;192.168.0.40;192.168.0.33;TCP;20;3;Permit;IN;
2022-03-07 17:41:02;192.168.0.40;192.168.0.33;TCP;21;3;Permit;IN;
2022-03-07 17:41:02;192.168.0.40;192.168.0.33;TCP;8080;8;Permit;IN;
2022-03-07 17:41:02;192.168.0.40;192.168.0.33;TCP;21;3;Permit;IN;
2022-03-07 17:41:02;192.168.0.40;192.168.0.33;TCP;8080;8;Permit;IN;
2022-03-07 17:41:02;192.168.0.40;192.168.0.33;TCP;80;4;Permit;IN;
2022-03-07 17:41:02;192.168.0.40;192.168.0.33;TCP;8080;8;Permit;IN;
2022-03-07 17:41:02;192.168.0.40;192.168.0.33;TCP;80;4;Permit;IN;
2022-03-07 17:41:02;192.168.0.40;192.168.0.33;TCP;8080;8;Permit;IN;
2022-03-07 17:41:02;192.168.0.40;192.168.0.33;TCP;80;4;Permit;IN;
2022-03-07 17:41:02;192.168.0.40;192.168.0.33;TCP;443;7;Permit;IN;
2022-03-07 17:41:02;192.168.0.40;192.168.0.33;TCP;80;4;Permit;IN;
2022-03-07 17:41:02;192.168.0.40;192.168.0.33;TCP;443;7;Permit;IN;
2022-03-07 17:41:02;192.168.0.40;192.168.0.33;TCP;443;7;Permit;IN;
2022-03-07 17:41:02;192.168.0.40;192.168.0.33;TCP;445;6;Permit;IN;
2022-03-07 17:41:02;192.168.0.40;192.168.0.33;TCP;445;6;Permit;IN;
2022-03-07 17:41:02;192.168.0.40;192.168.0.33;TCP;445;6;Permit;IN;
2022-03-07 17:41:02;192.168.0.40;192.168.0.33;TCP;443;7;Permit;IN;
2022-03-07 17:41:02;192.168.0.40;192.168.0.33;TCP;445;6;Permit;IN;
2022-03-07 17:41:02;192.168.0.40;192.168.0.33;TCP;21;3;Permit;IN;
2022-03-07 17:41:20;192.168.0.10;192.168.0.255;UDP;138;5;Permit;IN;
2022-03-07 17:41:20;192.168.0.29;192.168.0.255;UDP;137;5;Permit;IN;
2022-03-07 17:41:20;192.168.0.10;192.168.0.255;UDP;138;5;Permit;IN;
2022-03-07 17:42:02;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 17:42:02;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 17:42:02;192.168.0.40;192.168.0.33;TCP;80;4;Permit;IN;
2022-03-07 17:42:02;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 17:42:02;192.168.0.40;192.168.0.33;TCP;80;4;Permit;IN;
2022-03-07 17:42:02;192.168.0.40;192.168.0.33;TCP;80;4;Permit;IN;
2022-03-07 17:42:02;192.168.0.40;192.168.0.33;TCP;80;4;Permit;IN;
2022-03-07 17:42:02;192.168.0.40;192.168.0.33;TCP;21;3;Permit;IN;
2022-03-07 17:42:02;192.168.0.40;192.168.0.33;TCP;21;3;Permit;IN;
2022-03-07 17:42:02;192.168.0.40;192.168.0.33;TCP;21;3;Permit;IN;
2022-03-07 17:42:02;192.168.0.40;192.168.0.33;TCP;8080;8;Permit;IN;
2022-03-07 17:42:02;192.168.0.40;192.168.0.33;TCP;21;3;Permit;IN;
2022-03-07 17:42:02;192.168.0.40;192.168.0.33;TCP;21;3;Permit;IN;
2022-03-07 17:42:02;192.168.0.40;192.168.0.33;TCP;445;6;Permit;IN;
2022-03-07 17:42:02;192.168.0.40;192.168.0.33;TCP;443;7;Permit;IN;
2022-03-07 17:42:41;0.0.0.0;255.255.255.255;UDP;67;5;Permit;IN;
2022-03-07 17:42:41;0.0.0.0;255.255.255.255;UDP;67;5;Permit;IN;
2022-03-07 17:42:52;0.0.0.0;255.255.255.255;UDP;67;5;Permit;IN;
2022-03-07 17:42:52;0.0.0.0;255.255.255.255;UDP;67;5;Permit;IN;
2022-03-07 17:42:54;0.0.0.0;255.255.255.255;UDP;67;5;Permit;IN;
2022-03-07 17:42:54;0.0.0.0;255.255.255.255;UDP;67;5;Permit;IN;
2022-03-07 17:42:58;0.0.0.0;255.255.255.255;UDP;67;5;Permit;IN;
2022-03-07 17:42:58;0.0.0.0;255.255.255.255;UDP;67;5;Permit;IN;
2022-03-07 17:43:00;192.168.0.10;192.168.0.255;UDP;137;5;Permit;IN;
2022-03-07 17:43:00;192.168.0.10;192.168.0.255;UDP;137;5;Permit;IN;
2022-03-07 17:43:00;192.168.0.29;192.168.0.255;UDP;137;5;Permit;IN;
2022-03-07 17:43:00;192.168.0.10;192.168.0.255;UDP;137;5;Permit;IN;
2022-03-07 17:43:00;192.168.0.10;192.168.0.255;UDP;137;5;Permit;IN;
2022-03-07 17:43:02;192.168.0.40;192.168.0.33;TCP;80;4;Permit;IN;
2022-03-07 17:43:02;192.168.0.10;192.168.0.255;UDP;137;5;Permit;IN;
2022-03-07 17:43:02;192.168.0.29;192.168.0.255;UDP;137;5;Permit;IN;
2022-03-07 17:43:02;192.168.0.40;192.168.0.33;TCP;80;4;Permit;IN;
2022-03-07 17:43:02;192.168.0.10;192.168.0.255;UDP;137;5;Permit;IN;
2022-03-07 17:43:02;192.168.0.10;192.168.0.255;UDP;137;5;Permit;IN;
2022-03-07 17:43:02;192.168.0.40;192.168.0.33;TCP;21;3;Permit;IN;
2022-03-07 17:43:02;192.168.0.40;192.168.0.33;TCP;21;3;Permit;IN;
2022-03-07 17:43:02;192.168.0.40;192.168.0.33;TCP;80;4;Permit;IN;
2022-03-07 17:43:02;192.168.0.40;192.168.0.33;TCP;80;4;Permit;IN;
2022-03-07 17:43:02;192.168.0.40;192.168.0.33;TCP;21;3;Permit;IN;
2022-03-07 17:43:02;192.168.0.40;192.168.0.33;TCP;443;7;Permit;IN;
